"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
66924,9/30/2016 0:00:00,21145,"VALLEYSTAR",186,"Martinsville Dupont Empl. Cr. Un"
66924,9/30/2016 0:00:00,21145,"VALLEYSTAR",187,"Martinsville Dupont Empl CU, Inc"
66924,9/30/2016 0:00:00,21145,"VALLEYSTAR",188,"Martinsville Dupont CU"
66924,9/30/2016 0:00:00,21145,"VALLEYSTAR",189,"Martinsville Dupont Credit Union"
66924,9/30/2016 0:00:00,21145,"VALLEYSTAR",190,"Martinsville Dupont Cr Un Inc."
66924,9/30/2016 0:00:00,21145,"VALLEYSTAR",466,"ValleyStar Credit Union"
66957,9/30/2016 0:00:00,21178,"NABISCO EMPLOYEES CREDIT UNION",441,"NABISCO Credit Union"
67005,9/30/2016 0:00:00,21226,"NATIONAL J. A. C. L.",377,"Asian Heritage Financial CU"
67190,9/30/2016 0:00:00,21411,"SUMMIT",46,"Veterans Administration"
67248,9/30/2016 0:00:00,23376,"UNITEDONE",33,"Financial Services Center"
67262,9/30/2016 0:00:00,22275,"NORTHWEST PLUS",367,"NW Plus CU"
67278,9/30/2016 0:00:00,21676,"PAWTUCKET",152,"PCU"
67330,9/30/2016 0:00:00,22469,"MIAMI POSTAL SERVICE",426,"MPS Credit Union"
67338,9/30/2016 0:00:00,22499,"ELECTRICIANS' LOCAL 349",184,"State Chartered CU in Florida135"
67342,9/30/2016 0:00:00,22590,"CONNECT CREDIT UNION",51,"Connect Credit Union"
67342,9/30/2016 0:00:00,22590,"CONNECT CREDIT UNION",52,"Florida Transportaton Credit Un"
67427,9/30/2016 0:00:00,22689,"GALVESTON GOVERNMENT EMPLOYEES",430,"GGECU"
67465,9/30/2016 0:00:00,22957,"TEXAS BAY",473,"Texas Bay Area Credit Union"
67579,9/30/2016 0:00:00,22814,"TEX MEX",57,"Tex Mex Credit Union"
67599,9/30/2016 0:00:00,24200,"ALLCOM",357,"Worcester Postal Credit Union"
67649,9/30/2016 0:00:00,22782,"MEMBERS",431,"MCU"
67755,9/30/2016 0:00:00,24008,"SMITH & NEPHEW EMPLOYEES",17,"SNECU"
67804,9/30/2016 0:00:00,23100,"VANTAGE",32,"Vantage"
67804,9/30/2016 0:00:00,23100,"VANTAGE",34,"VCU"
67804,9/30/2016 0:00:00,23100,"VANTAGE",35,"Vantage CU"
67804,9/30/2016 0:00:00,23100,"VANTAGE",36,"Vantage Credit Union"
68203,9/30/2016 0:00:00,22223,"SPOKANE TEACHERS",137,"STCU"
68237,9/30/2016 0:00:00,4698,"GLOBAL",525,"GlobalVicenza"
68237,9/30/2016 0:00:00,4698,"GLOBAL",526,"GlobalSullivan"
68237,9/30/2016 0:00:00,4698,"GLOBAL",527,"GlobalShadle"
68237,9/30/2016 0:00:00,4698,"GLOBAL",528,"GlobalPostFalls"
68237,9/30/2016 0:00:00,4698,"GLOBAL",529,"GlobalPasco"
68237,9/30/2016 0:00:00,4698,"GLOBAL",530,"GlobalKennewick"
68237,9/30/2016 0:00:00,4698,"GLOBAL",531,"GlobalHQ"
68237,9/30/2016 0:00:00,4698,"GLOBAL",532,"GlobalDarby"
68237,9/30/2016 0:00:00,4698,"GLOBAL",533,"GlobalCU"
68237,9/30/2016 0:00:00,4698,"GLOBAL",534,"GlobalCDA"
68237,9/30/2016 0:00:00,4698,"GLOBAL",535,"GlobalAviano"
68237,9/30/2016 0:00:00,4698,"GLOBAL",536,"GlobalArgonne"
68237,9/30/2016 0:00:00,4698,"GLOBAL",537,"Global"
68239,9/30/2016 0:00:00,4185,"HAPO COMMUNITY",298,"HAPO Community Credit Union"
68239,9/30/2016 0:00:00,4185,"HAPO COMMUNITY",299,"HAPO"
68239,9/30/2016 0:00:00,4185,"HAPO COMMUNITY",418,"HAPO Mortgage"
68278,9/30/2016 0:00:00,4138,"GESA",395,"Gesa to Go"
68278,9/30/2016 0:00:00,4138,"GESA",396,"Gesa Financial Solution"
68291,9/30/2016 0:00:00,26309,"GEORGIA GUARD",474,"GGCU"
68297,9/30/2016 0:00:00,1702,"NORRISTOWN BELL",197,"NBCU"
68315,9/30/2016 0:00:00,22333,"SEATTLE METROPOLITAN",154,"Seattle Metropolitan Credit Unio"
68362,9/30/2016 0:00:00,22291,"INSPIRUS",200,"SECUWA"
68362,9/30/2016 0:00:00,22291,"INSPIRUS",201,"SchoolEmployeesCU"
68362,9/30/2016 0:00:00,22291,"INSPIRUS",467,"InspirusCU"
68371,9/30/2016 0:00:00,2505,"AMERICAN LAKE",506,"KBR Credit Union, a branch of AL"
68377,9/30/2016 0:00:00,2479,"POINT LOMA",2,"PLCU"
68383,9/30/2016 0:00:00,7008,"TECHNOLOGY",372,"Tech CU"
68383,9/30/2016 0:00:00,7008,"TECHNOLOGY",519,"Technology Credit Union"
68383,9/30/2016 0:00:00,7008,"TECHNOLOGY",520,"Tech Wealth Management"
68383,9/30/2016 0:00:00,7008,"TECHNOLOGY",521,"Tech Capital LLC"
68394,9/30/2016 0:00:00,7361,"MERIWEST",284,"Meriwest Financial Center"
68394,9/30/2016 0:00:00,7361,"MERIWEST",285,"Meriwest Credit Union"
68398,9/30/2016 0:00:00,14443,"SCHOOLS FINANCIAL",138,"schools.org"
68398,9/30/2016 0:00:00,14443,"SCHOOLS FINANCIAL",139,"Schools"
68398,9/30/2016 0:00:00,14443,"SCHOOLS FINANCIAL",427,"Schools Financial Credit Union"
68404,9/30/2016 0:00:00,11779,"FIRST FINANCIAL",111,"First Financial"
68417,9/30/2016 0:00:00,2636,"FAIRWINDS",179,"FAIRWINDS"
68428,9/30/2016 0:00:00,5985,"PREMIER AMERICA",164,"Top Premium Finance Company"
68428,9/30/2016 0:00:00,5985,"PREMIER AMERICA",165,"Top Premium Finance"
68445,9/30/2016 0:00:00,3393,"POWER FINANCIAL",206,"Power Financial Credit Union"
68448,9/30/2016 0:00:00,14241,"CITIZENS EQUITY FIRST",185,"CEFCU"
68452,9/30/2016 0:00:00,1783,"NORTH ISLAND FINANCIAL",1,"North Island Credit Union"
68490,9/30/2016 0:00:00,3639,"VYSTAR",83,"VyStar Title Agency"
68490,9/30/2016 0:00:00,3639,"VYSTAR",85,"VyStar Investment Services"
68490,9/30/2016 0:00:00,3639,"VYSTAR",86,"VyStar Insurance Agency"
68490,9/30/2016 0:00:00,3639,"VYSTAR",87,"VyStar Financial Group, LLC"
68490,9/30/2016 0:00:00,3639,"VYSTAR",88,"VyStar Credit Union"
68490,9/30/2016 0:00:00,3639,"VYSTAR",89,"VyStar"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",168,"U of C Federal Credit Union"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",169,"U of C FCU"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",170,"U of C"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",171,"SVVCU"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",172,"St. Vrain Valley CU"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",173,"St. Vrain Valley Credit Union"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",174,"Longs Peak CU"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",175,"Longs Peak Credit Union"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",176,"Elevations CU"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",177,"Elevations"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",178,"ECU"
68565,9/30/2016 0:00:00,3860,"ELEVATIONS",495,"Elevations Credit Union"
68573,9/30/2016 0:00:00,9873,"EMORY ALLIANCE",100,"Emory Alliance"
68574,9/30/2016 0:00:00,4589,"GENERAL ELECTRIC",128,"General Electric Credit Union"
