Bank Name / Holding Co Name	Nat'l Rank	Bank ID	Bank Location	Charter	Consol Assets (Mil $)	Domestic Assets (Mil $)	Pct Domestic Assets	Pct Cumulative Assets	Domestic Branches	Foreign Branches	IBF	Pct Foreign Owned
FIRST NB MI/FIRST NAT BC	1323	3404467	KALAMAZOO, MI	NAT	417	417	100	99	3	0	N	0.00
OAKWORTH CAP BK/OAKWORTH CAP	1324	3720608	BIRMINGHAM, AL	SNM	417	417	100	99	2	0	N	0.00
NATIONAL BK OF GA/NBG BC	1325	2872340	ATHENS, GA	NAT	416	416	100	99	1	0	N	0.00
BLACKRIDGEBANK/BLACKRIDGE FNCL	1326	3580334	FARGO, ND	SNM	416	416	100	99	10	0	N	0.00
VALLEY BUS BK/VALLEY CMRC BC	1327	2446152	VISALIA, CA	SNM	415	415	100	99	3	0	N	0.00
DMB CMNTY BK/DMB CORP	1328	56548	DE FOREST, WI	SNM	415	415	100	99	1	0	N	0.00
HERITAGE BK/CCF HC	1329	628178	JONESBORO, GA	SNM	415	415	100	99	5	0	N	0.00
RESOURCE BK NA/RESOURCE BSHRS	1330	235530	DEKALB, IL	NAT	415	415	100	99	9	0	N	0.00
FIRST GREEN BK/FIRST GREEN BC	1331	3900950	MOUNT DORA, FL	SNM	415	415	100	99	4	0	N	0.00
WESTERN CMRC BK/WESTERN CMRC BSHRS CARLSBAD	1332	169756	CARLSBAD, NM	SNM	414	414	100	99	11	0	N	0.00
CITIZENS NB/CENTRAL TX FNCL CORP	1333	59352	CAMERON, TX	NAT	414	414	100	99	10	0	N	0.00
BALLSTON SPA NB/BALLSTON SPA BC	1334	505	BALLSTON SPA, NY	NAT	413	413	100	99	10	0	N	0.00
COMMUNITY BK/COMMUNITYBANC	1335	729011	ZANESVILLE, OH	SNM	413	413	100	99	10	0	N	0.00
CITIZENS TR BK/CITIZENS BSHRS CORP	1336	680130	ATLANTA, GA	SMB	413	413	100	99	9	0	N	0.00
ATHENS FED CMNTY BK NA/ATHENS BSHRS CORP	1337	807272	ATHENS, TN	NAT	413	413	100	99	9	0	N	0.00
NORTHWESTERN BK/NW BSHRS	1338	153054	CHIPPEWA FALLS, WI	SMB	412	412	100	99	6	0	N	0.00
LANDMARK BK NA/GIANT HOLD	1339	2721765	FORT LAUDERDALE, FL	NAT	412	412	100	99	5	0	N	0.00
FIRST ST BK/NORTON BSHRS	1340	394259	NORTON, KS	SNM	411	411	100	99	4	0	N	0.00
COMMUNITY BK/MANSFIELD BSHRS	1341	974754	MANSFIELD, LA	SNM	411	411	100	99	9	0	N	0.00
SOUTHEASTERN BK/SOUTHEASTERN BKG CORP	1342	210238	DARIEN, GA	SNM	411	411	100	99	11	0	N	0.00
HERRING BK/HERRING BC	1343	610164	AMARILLO, TX	SNM	410	410	100	99	13	0	N	0.00
FIRST CENTURY BK/FIRST CENTURY BSHRS	1344	569422	BLUEFIELD, WV	SMB	410	410	100	99	11	0	N	0.00
COLLEGIATE PEAKS BK/COLUMBINE CAP CORP	1345	622756	BUENA VISTA, CO	SMB	410	410	100	99	4	0	N	0.00
CAPITAL BK OF NJ/	1346	3595262	VINELAND, NJ	SNM	410	410	100	99	3	0	N	0.00
MARQUIS BK/	1347	3625002	CORAL GABLES, FL	SNM	409	409	100	99	1	0	N	0.00
NATIONAL CAPITAL BK OF WA/	1348	791821	WASHINGTON, DC	NAT	409	409	100	99	1	0	N	0.00
NEW OMNI BK NA/CKH CAP	1349	300063	ALHAMBRA, CA	NAT	409	409	100	99	1	0	N	0.00
FARMERS BK WINDSOR VA/FARMERS BSHRS	1350	619327	WINDSOR, VA	SMB	409	409	100	99	5	0	N	0.00
CITIZENS BK/CITIZENS BSHRS CORP	1351	898627	OLANTA, SC	SNM	409	409	100	99	15	0	N	0.00
CENTRAL BK OF SEDALIA/CENTRAL BANCOMPANY INC	1352	611451	SEDALIA, MO	SMB	409	409	100	99	4	0	N	0.00
PEOPLES B&TC OF MADISON CTY/WHITAKER BC	1353	746513	BEREA, KY	SMB	407	407	100	99	9	0	N	0.00
SECURITY FNCL BK/SECURITY FS CORP	1354	450959	DURAND, WI	SMB	407	407	100	99	3	0	N	0.00
EASTERN NB/	1355	171133	MIAMI, FL	NAT	406	397	98	99	4	0	Y	0.00
BARABOO NB/BARABOO BC	1356	24949	BARABOO, WI	NAT	405	405	100	99	8	0	N	0.00
LEGENDS BK/LEGENDS FNCL HOLD	1357	2745426	CLARKSVILLE, TN	SNM	405	405	100	99	7	0	N	0.00
CITY NB OF METROPOLIS/CITY NAT BANKCORP	1358	298245	METROPOLIS, IL	NAT	405	405	100	99	1	0	N	0.00
BANK OF BRIDGER NA/BRIDGER CO	1359	17950	BRIDGER, MT	NAT	405	405	100	99	8	0	N	0.00
BLOOMBANK/UNIVERSAL BANCORP	1360	64543	BLOOMFIELD, IN	SNM	404	404	100	99	11	0	N	0.00
ROYAL BKS OF MO/ROYAL BSHRS	1361	501459	SAINT LOUIS, MO	SNM	404	404	100	99	6	0	N	0.00
CITIZENS DEPOSIT B&TC/PREMIER FNCL BC	1362	344816	VANCEBURG, KY	SNM	404	404	100	99	12	0	N	0.00
DECORAH B&TC/SECURITY AGY	1363	872047	DECORAH, IA	SNM	404	404	100	99	2	0	N	0.00
FIELD & MAIN BK/FIELD & MAIN BC	1364	618740	HENDERSON, KY	SMB	403	403	100	99	5	0	N	0.00
ROCKFORD B&TC/QCR HOLDS	1365	3303917	ROCKFORD, IL	SMB	402	402	100	99	1	0	N	0.00
